market,group,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar
ETH,Crypto,DQN,+VolFore,0,9668.265725139136,0.1153729181535068,0.1534483068776084,-0.3489646798634105,-0.0176283530315934,-0.0505161526331058
ETH,Crypto,DQN,+VolFore,1,17783.83782670847,0.9242347454897866,1.2926367135199583,-0.5057547101967513,0.3546047715555926,0.701139830051096
ETH,Crypto,DQN,+VolFore,2,15384.687301474469,0.7664116960071313,0.9229847559601168,-0.5024720861531972,0.2549676255020165,0.507426447215165
ETH,Crypto,DQN,+VolFore,3,19092.107086368294,1.2132442448688756,1.5818556464034086,-0.2039575741430198,0.4062586788636559,1.9918783627853207
ETH,Crypto,DQN,+VolFore,4,7616.798460231236,-0.152802423948459,-0.1788323461208165,-0.6038497727184997,-0.1336949641924192,-0.2214043463000908
ETH,Crypto,PPO,Baseline,0,8917.86902085163,-0.0750851788280325,-0.0725715348462136,-0.5377946271711191,-0.0585921554827151,-0.1089489417006818
ETH,Crypto,PPO,Baseline,1,8342.965859578222,-0.1957698193683081,-0.1778185448098251,-0.5747335395030095,-0.091090980265702,-0.1584925430736352
ETH,Crypto,PPO,Baseline,2,10000.60151680165,0.1559339749400292,0.1623162990137618,-0.4863657094927625,3.171131351176193e-05,6.520055360146359e-05
ETH,Crypto,PPO,Baseline,3,7800.445198797918,-0.3425305480752438,-0.3197934177634743,-0.5650639523887793,-0.1227453002176433,-0.2172237313998292
ETH,Crypto,PPO,Baseline,4,13915.10395818184,0.71625899697395,0.9454950739031036,-0.4212681407750361,0.1902702502204474,0.4516606688318333
ETH,Crypto,PPO,+RetFore,0,9974.754959630176,0.227686156381191,0.3327208657198274,-0.6699646891032931,-0.0013317053471354,-0.0019877246798124
ETH,Crypto,PPO,+RetFore,1,10479.02808185858,0.2715266507499953,0.3499522240150232,-0.614740820925632,0.0249747466995164,0.0406264654132951
ETH,Crypto,PPO,+RetFore,2,10295.023728752918,0.2768863618851425,0.4267413357995664,-0.6961328881766878,0.0154466184408372,0.022189180691165
ETH,Crypto,PPO,+RetFore,3,10469.137932673975,0.2794021453030738,0.38537637575634,-0.6380284694091052,0.0244646358266291,0.0383441131541483
ETH,Crypto,PPO,+RetFore,4,13422.225931018602,0.5640313729614795,0.9066752034411052,-0.536459080123113,0.167854321632858,0.3128930571815915
ETH,Crypto,PPO,+VolFore,0,10799.054617629128,0.29580765148488,0.4340949557315565,-0.5870849213531975,0.0413598976431015,0.0704495996042597
ETH,Crypto,PPO,+VolFore,1,8670.85262829874,-0.1085528945609557,-0.1060886035633633,-0.5333681468760422,-0.0724306473905634,-0.1357985995501545
ETH,Crypto,PPO,+VolFore,2,12881.203813990533,0.523859616171186,0.6830638817537054,-0.5145400279166703,0.1427958995088023,0.2775214594804092
ETH,Crypto,PPO,+VolFore,3,14220.486225450515,0.6489095558373512,0.8497519529439129,-0.457566349717497,0.203970883205129,0.4457733470361524
ETH,Crypto,PPO,+VolFore,4,14665.533019617824,0.7276406621895954,1.0907755872726823,-0.4876001075286502,0.2236907324934647,0.4587585790880131
FTSE100,Developed,BuyHold,-,-1,13930.01797378925,1.2358576017631786,1.5391860704739309,-0.1343433128094448,0.1434327934768395,1.0676586015056797
FTSE100,Developed,Q-Learning,Baseline,0,9887.075607192324,-0.477227747667121,-0.192120747572567,-0.0221909444785358,-0.004561265543458,-0.2055462554856272
FTSE100,Developed,Q-Learning,Baseline,1,10046.66978898111,0.3951896888902298,0.2372238206531723,-0.0042678694169718,0.0018761072501709,0.4395887189684654
