market,group,arm,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar
BTC,Crypto,B,PPO,+VolFore,2,9415.662322148368,-0.0374764939675763,-0.0497278591186696,-0.3196439175790078,-0.0230728365642893,-0.0721829363717336
BTC,Crypto,B,PPO,+VolFore,3,9343.26250091523,-0.0003092026622869,-0.0004229333061258,-0.4003929928012279,-0.0259920200890597,-0.0649162711543715
BTC,Crypto,B,PPO,+VolFore,4,9520.75538967588,0.0183644864920322,0.0254411717581383,-0.3761926857613488,-0.0188598037238505,-0.0501333610078873
Bovespa,Emerging,A,VTrule,-,-1,12480.094212644086,0.7605221587528507,1.152982790688052,-0.1342184709392157,0.0950295938523002,0.7080217289513662
Bovespa,Emerging,A,Q-Learning,Baseline,0,9614.32344800733,-0.3473693393355195,-0.291663901732512,-0.0763361643828201,-0.0159869798132518,-0.2094286494782325
Bovespa,Emerging,A,Q-Learning,Baseline,1,8823.584605998556,-1.0474619008158843,-0.7421739657973158,-0.1379880310025421,-0.0499909782530869,-0.3622848872436168
Bovespa,Emerging,A,Q-Learning,Baseline,2,9449.967498048616,-0.6139084943355251,-0.484478328762383,-0.0709601137940276,-0.0229148300502008,-0.3229254975040159
Bovespa,Emerging,A,Q-Learning,Baseline,3,9471.627274982662,-0.4807765940920578,-0.4031542249708969,-0.0712062913637135,-0.0219977906456664,-0.3089304361182821
Bovespa,Emerging,A,Q-Learning,Baseline,4,9350.125019505516,-0.717007597693534,-0.4172787392241054,-0.0830723007252853,-0.0271581184876218,-0.3269214678079646
Bovespa,Emerging,A,Q-Learning,+RetFore,0,8559.361079956452,-1.1029202325002152,-0.9402423276143952,-0.1680258383302912,-0.0617524689695215,-0.3675176959853411
Bovespa,Emerging,A,Q-Learning,+RetFore,1,9684.291743932372,-0.2643024807874007,-0.3147493475301104,-0.062970493229832,-0.0130589286080851,-0.2073817106722472
Bovespa,Emerging,A,Q-Learning,+RetFore,2,9327.664179025782,-0.5389652118902037,-0.5995469883127384,-0.0817242194997422,-0.028116380875108,-0.3440397601454323
Bovespa,Emerging,A,Q-Learning,+RetFore,3,8507.293306154716,-1.0968396028183187,-1.0667263395321704,-0.1858371224550312,-0.0640953595826904,-0.3449007320798097
Bovespa,Emerging,A,Q-Learning,+RetFore,4,9195.062407129652,-0.841222986054438,-0.7731549362795027,-0.1088548960252342,-0.0338016124495814,-0.3105199093795027
Bovespa,Emerging,A,Q-Learning,+VolFore,0,8906.485906781149,-0.7947407373463008,-0.7127234487121248,-0.1093514093218851,-0.0463436945961134,-0.4238051880911111
Bovespa,Emerging,A,Q-Learning,+VolFore,1,10361.439637144776,0.4411810840571768,0.4864435462871115,-0.0271558952638886,0.0146551885354919,0.539668767777304
Bovespa,Emerging,A,Q-Learning,+VolFore,2,9781.149236630044,-0.2973964658940626,-0.250807450465773,-0.0500779975005597,-0.0090261443318272,-0.1802417185620516
Bovespa,Emerging,A,Q-Learning,+VolFore,3,10527.42974460062,0.3795961069807455,0.479260127274442,-0.064782511020968,0.0212844508096567,0.3285524206130131
Bovespa,Emerging,A,Q-Learning,+VolFore,4,9658.88324217428,-0.3318705824727017,-0.3078615234122807,-0.0630541074339729,-0.0141207817469132,-0.2239470562877421
Bovespa,Emerging,A,PPO,Baseline,0,11543.91980649722,0.5756441166231291,0.826680003217154,-0.1384932882607941,0.0605951708596315,0.437531461778049
